id,title,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,overview,adult,backdrop_path,first_air_date,last_air_date,homepage,in_production,original_name,popularity,poster_path,type,status,tagline,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
99966,All of Us Are Dead,2,12,ko,3335,8.354,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,FALSE,/jZAtLKNZbQZZLm9OLcY9rdZZV5F.jpg,28-01-2022,28-01-2022,https://www.netflix.com/title/81237994,TRUE,지금 우리 학교는,107.108,/pTEFqAjLd5YTsMD6NSUxV6Dq7A6.jpg,Scripted,Returning Series,Hope is the most painful torture for people who want to despair.,"Action & Adventure, Drama, Sci-Fi & Fantasy","Chun Sung-il, JQ Lee, Kim Nam-soo","en, ko",Netflix,KR,"English, 한국어/조선말","Film Monster, SLL, Kim Jong-hak Production",South Korea,65
79242,Chilling Adventures of Sabrina,2,36,en,3320,8.242,"As her 16th birthday nears, Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.",FALSE,/8AqPuvo0r89khk01yEFT321jiDn.jpg,26-10-2018,31-12-2020,https://www.netflix.com/title/80223989,FALSE,Chilling Adventures of Sabrina,123.963,/yxMpoHO0CXP5o9gB7IfsciilQS4.jpg,Scripted,Ended,High School is such a witch.,"Mystery, Sci-Fi & Fantasy, Drama",Roberto Aguirre-Sacasa,en,Netflix,US,English,"Berlanti Productions, Warner Bros. Television","Canada, United States of America",60
1403,Marvel's Agents of S.H.I.E.L.D.,7,136,en,3221,7.492,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",FALSE,/80BRASQnT9KT7BkFeEI0EdeRIF3.jpg,24-09-2013,12-08-2020,https://www.disneyplus.com/series/agents-of-shield/2UT4VQrwpVgi,FALSE,Marvel's Agents of S.H.I.E.L.D.,289.802,/gHUCCMy1vvj58tzE3dZqeC9SXus.jpg,Scripted,Ended,Not all heroes are super.,"Drama, Sci-Fi & Fantasy, Action & Adventure","Joss Whedon, Jed Whedon, Maurissa Tancharoen",en,ABC,US,English,"ABC Studios, Mutant Enemy Productions, Marvel Television, Walt Disney Studios, Marvel Entertainment",United States of America,43
63926,One-Punch Man,3,24,ja,3207,8.381,"Saitama is a hero who only became a hero for fun. After three years of “special” training, though, he’s become so strong that he’s practically invincible. In fact, he’s too strong — even his mightiest opponents are taken out with a single punch, and it turns out that being devastatingly powerful is actually kind of a bore. With his passion for being a hero lost along with his hair, yet still faced with new enemies every day, how much longer can he keep it going?",FALSE,/xWDYXgbRfquh4s21dGnG0BWKySy.jpg,05-10-2015,03-07-2019,https://onepunchman-anime.net/,TRUE,ワンパンマン,69.453,/bS6GeCRInMRl6oQN6czCqPFdcHN.jpg,Scripted,Returning Series,,"Action & Adventure, Animation, Comedy",,ja,"TV Tokyo, TV Aichi, TV Osaka",JP,日本語,"Madhouse, J.C.STAFF, Bandai Visual, Asatsu-DK, East Japan Marketing & Communications, Shueisha, Lantis, Banpresto, Good Smile Company, TV Tokyo",Japan,24
80213,The Purge,2,20,en,3204,6.929,"Set in a dystopian America ruled by a totalitarian political party, the series follows several seemingly unrelated characters living in a small city. Tying them all together is a mysterious savior who’s impeccably equipped for everything the night throws at them. As the clock winds down with their fates hanging in the balance, each character is forced to reckon with their pasts as they discover how far they will go to survive the night.",FALSE,/rFGtqUOIXP9CudLaSzK9iFZB7lK.jpg,04-09-2018,17-12-2019,http://www.usanetwork.com/thepurge,FALSE,The Purge,35.783,/9CaS2XFd0Db42grzzVBnWcSkrbg.jpg,Scripted,Canceled,Surviving the night is just the beginning.,"Mystery, Crime, Drama",James DeMonaco,en,USA Network,US,English,"Platinum Dunes, Blumhouse Television, Anthony Hemingway Productions",United States of America,43
71886,Siren,3,36,en,3171,7.75,"The coastal town of Bristol Cove is known for its legend of once being home to mermaids. When the arrival of a mysterious girl proves this folklore all too true, the battle between man and sea takes a very vicious turn as these predatory beings return to reclaim their right to the ocean.",FALSE,/uZNhVUocfi44FuyR3FmHOFLwio4.jpg,29-03-2018,28-05-2020,http://freeform.go.com/shows/siren,FALSE,Siren,49.087,/k906XXqqFMT93v2WMkIOtUcEAlV.jpg,Scripted,Canceled,More. Are. Coming.,"Sci-Fi & Fantasy, Drama","Eric Wald, Nick Copus, Dean White",en,Freeform,US,English,,United States of America,42
60708,Gotham,5,100,en,3157,7.6,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",FALSE,/7QSM3AsgWXctWBm7OFov9dGdZgt.jpg,22-09-2014,25-04-2019,http://www.fox.com/gotham/,FALSE,Gotham,100.464,/4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg,Scripted,Ended,"Before Batman, there was Gotham.","Drama, Crime, Sci-Fi & Fantasy",Bruno Heller,en,FOX,US,English,"DC Entertainment, Primrose Hill Productions, Warner Bros. Television",United States of America,43
16286,"Yo soy Betty, la fea",1,335,es,3133,8.335,"Yo soy Betty, la fea is a telenovela filmed in Colombia, written by Fernando Gaitán and produced from October 25, 1999 to May 8, 2001 by the Colombian network RCN. More than a dozen versions of the telenovela have been made in other countries. In the United States, both the comedy-drama hit Ugly Betty and Televisa program La Fea Más Bella are based on the Colombian soap opera.

Betty, la Fea re-aired on Spanish-language U.S. network TeleFutura in January 2009. Eight years after the telenovela's original run, the highly anticipated return of the original version of Yo Soy Betty, La Fea delivered impressive ratings for the network, attracting over one million viewers, more than half a million of which were adults aged 18–49. In addition, the premiere episode doubled and in some cases nearly tripled its prior audience among all key demographics.

Due to the success of re-runs aired in the United States, in June 2009, Yo soy Betty, la fea re-aired in México on Canal de las Estrellas.

Betty, la Fea is arguably the most successful telenovela of all time and one of the most popular television shows in the world. It is the first telenovela to have been remade worldwide and has been regarded as bringing the telenovela to new levels of success.",FALSE,/ftiQHOrAGTGXVsJ1pcAVC5Dau78.jpg,25-10-1999,30-01-2001,,FALSE,"Yo soy Betty, la fea",123.868,/iEBOiXiDGaxVR6w8aKgG5MEusuO.jpg,Scripted,Ended,,"Soap, Comedy, Drama",Fernando Gaitán,"it, es",RCN,CO,"Italiano, Español",RCN,Colombia,39
46896,The Originals,5,92,en,3125,8.6,"A spin-off from The Vampire Diaries and set in New Orleans, The Originals centers on the Mikaelson siblings, otherwise known as the world's original vampires: Klaus, Elijah, and Rebekah. Now Klaus must take down his protégé, Marcel, who is now in charge of New Orleans, in order to re-take his city, as he originally built New Orleans. Klaus departed from the city after being chased down by his father Mikael, while it was being constructed and Marcel took charge. As Klaus has returned after many years, his ego has provoked him to become the king of the city. ""Every King needs an heir"" says Klaus, accepting the unborn child. The child is a first to be born to a hybrid and a werewolf.",FALSE,/b1Mh03Aeu4IlGvdNm10cbQQxt95.jpg,03-10-2013,01-08-2018,http://www.cwtv.com/shows/the-originals,FALSE,The Originals,99.452,/2llbXc2BOkLkBGgcNJCRbrWedUO.jpg,Scripted,Ended,,"Sci-Fi & Fantasy, Drama, Mystery",Julie Plec,en,The CW,US,English,"My So-Called Company, Alloy Entertainment, CBS Studios, Warner Bros. Television",United States of America,45
4613,Band of Brothers,1,10,en,3107,8.488,"Drawn from interviews with survivors of Easy Company, as well as their journals and letters, Band of Brothers chronicles the experiences of these men from paratrooper training in Georgia through the end of the war. As an elite rifle company parachuting into Normandy early on D-Day morning, participants in the Battle of the Bulge, and witness to the horrors of war, the men of Easy knew extraordinary bravery and extraordinary fear - and became the stuff of legend. Based on Stephen E. Ambrose's acclaimed book of the same name.",FALSE,/lngME02RNCzjUIkzS9eJ4b7sjeQ.jpg,09-09-2001,04-11-2001,http://www.hbo.com/band-of-brothers,FALSE,Band of Brothers,70.527,/pGzV187ogXzgJrvPRy2YPi29ofH.jpg,Miniseries,Ended,There was a time when the world asked ordinary men to do extraordinary things.,"Drama, War & Politics",,"de, fr, lt, nl, en",HBO,US,"Deutsch, Français, Lietuvių, Nederlands, English","HBO Films, DreamWorks Television, DreamWorks Pictures, BBC Television Centre, Playtone","Switzerland, United Kingdom, United States of America",60
